websites,sku,product_id,part_number,mfg_code,mfg_name,manufacturer_name,ship_method,category_name,sub_category,category_ids,stripped_part,store,attribute_set,type,root_category,product_websites,color,vpd_cost,cost,shipping_note,country_of_manufacture,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,Description,options_container,page_layout,price,supplier,required_options,short_description,url_key,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
base,50002-210@TREEFARMER,50002-210@TREEFARMER,50002-210,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-210,8482,Default,simple,Default Category,base,,0.1,0.17,,,,,,,50002-210-ORING,,,0,,,,,,,,,Use config,Use config,50002-210-ORING,50002-210-ORING,Product Info Column,,0.17,,,TREEFARMER,50002-210-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-216@TREEFARMER,50002-216@TREEFARMER,50002-216,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-216,8483,Default,simple,Default Category,base,,0.08,0.13,,,,,,,50002-216-ORING,,,0,,,,,,,,,Use config,Use config,50002-216-ORING,50002-216-ORING,Product Info Column,,0.13,,,TREEFARMER,50002-216-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-220@TREEFARMER,50002-220@TREEFARMER,50002-220,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-220,8484,Default,simple,Default Category,base,,0.1,0.17,,,,,,,50002-220-ORING,,,0,,,,,,,,,Use config,Use config,50002-220-ORING,50002-220-ORING,Product Info Column,,0.17,,,TREEFARMER,50002-220-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-237@TREEFARMER,50002-237@TREEFARMER,50002-237,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-237,8485,Default,simple,Default Category,base,,0.39,0.65,,,,,,,50002-237-ORING,,,0,,,,,,,,,Use config,Use config,50002-237-ORING,50002-237-ORING,Product Info Column,,0.65,,,TREEFARMER,50002-237-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-255@TREEFARMER,50002-255@TREEFARMER,50002-255,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-255,8486,Default,simple,Default Category,base,,0.5,0.83,,,,,,,50002-255-ORING,,,0,,,,,,,,,Use config,Use config,50002-255-ORING,50002-255-ORING,Product Info Column,,0.83,,,TREEFARMER,50002-255-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,50002-259@TREEFARMER,50002-259@TREEFARMER,50002-259,TREEFARMER,TREEFARMER,TREEFARMER,,Replacement Parts,,120,50002-259,8487,Default,simple,Default Category,base,,0.59,0.98,,,,,,,50002-259-ORING,,,0,,,,,,,,,Use config,Use config,50002-259-ORING,50002-259-ORING,Product Info Column,,0.98,,,TREEFARMER,50002-259-ORING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5000-4-4@AIR-WAY MANUFACTURING CO.,5000-4-4@AIR-WAY MANUFACTURING CO.,4/4/5000,AIR-WAY MANUFACTURING CO.,AIR-WAY MANUFACTURING CO.,AIR-WAY MANUFACTURING CO.,,Replacement Parts,,120,4/4/5000,8488,Default,simple,Default Category,base,,0.97,1.62,,,,,,,1132347-COUPLING,,,0,,,,,,,,,Use config,Use config,1132347-COUPLING,1132347-COUPLING,Product Info Column,,1.62,,,AIR-WAY MANUFACTURING CO.,1132347-COUPLING,,,,,,Enabled,None,,,,,,"Catalog, Search",0,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,5002093-006@ROBBINS,5002093-006@ROBBINS,5002093-006,ROBBINS,ROBBINS,ROBBINS,,Replacement Parts,,120,5002093-006,8489,Default,simple,Default Category,base,,32.96,54.93,,,,,,,5002093-006-U JOINT,,,0,,,,,,,,,Use config,Use config,5002093-006-U JOINT,5002093-006-U JOINT,Product Info Column,,54.93,,,ROBBINS,5002093-006-U JOINT,,,,,,Enabled,None,,,,,,"Catalog, Search",5,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,500247@TIMBERJACK,500247@TIMBERJACK,500247,TIMBERJACK,TIMBERJACK,TIMBERJACK,,Replacement Parts,,120,500247,8490,Default,simple,Default Category,base,,27.45,45.75,,,,,,,500247-PIN,,,0,,,,,,,,,Use config,Use config,500247-PIN,500247-PIN,Product Info Column,,45.75,,,TIMBERJACK,500247-PIN,,,,,,Enabled,None,,,,,,"Catalog, Search",3,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
base,500260A3123AJAAA@MISCELLANEOUS,500260A3123AJAAA@MISCELLANEOUS,500260A3123AJAAA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,,Replacement Parts,,120,500260A3123AJAAA,8491,Default,simple,Default Category,base,,579.94,966.57,,,,,,,500260A3123AJAAA-MOTOR,,,0,,,,,,,,,Use config,Use config,500260A3123AJAAA-MOTOR,500260A3123AJAAA-MOTOR,Product Info Column,,966.57,,,MISCELLANEOUS,500260A3123AJAAA-MOTOR,,,,,,Enabled,None,,,,,,"Catalog, Search",26,5,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
