Cost,ID
992.12,PB4719@0125
992.15,1732.204.002@2216
992.17,7095506@0922
992.25,544-2513-610@0933
992.33,3202F3906@0107
992.47,1-517-419-278@1578
992.55,6771763@0005
992.68,VA068460@2339
992.82,6779931@0005
992.85,23046397@0005
992.85,R921177110@1576
992.88,GR16616393@2339
993,VA9470@0125
993.3,990125@1904
993.3,990122@1904
993.53,725614@0125
993.68,F931502160020@2339
993.75,3802394@0020
994.17,27894@1630
994.3,WR125274@2339
994.7,8025137@0317
994.7,3799052M91@2339
994.73,TF0100AM020AAAB@0111
994.83,6675331@0211
995.03,6654182@0211
995.08,150N1108@1660
995.12,346-9203-153@0018
995.13,A5134@0043
995.18,DSG-03-3C60-D12-5090@0375
995.25,4646-303-330@1623
995.4,K034557@0009
995.63,2940347@2339
995.63,VA371388@2339
995.78,335621-11120@1589
995.85,20Y-977-A050@1563
995.9,0-510-325-012@0110
995.98,2-547-00W-999-00@1385
996.08,6717847@0211
996.33,6700545@0005
996.4,6512197@0211
996.48,WR41745@2339
996.5,AG028873@2339
996.62,286582X@0009
996.68,V20-7452@0091
996.73,S4008500740@0107
996.92,501105@1660
996.95,D28088431@2339
997.1,SCL5313@0107
997.12,F055363@0086
997.17,6006-022-180R@1623
997.25,4222553M91@2339
997.53,6677440@0211
997.85,6586723@0211
997.9,MCD-4403@0124
998.03,212912@0278
998.07,MCD-1683A@0124
998.08,31L3-04020@0612
998.08,31L3-04010@0612
998.42,715183C92@0096
998.52,R901126482@1576
998.63,GM20077498@2339
998.7,ZS-T02-A3-D28-DN36@0913
998.97,DH-425-2-1@2425
999.25,2063012220@0132
999.28,6662985@0211
999.28,6960680@0211
999.68,4644-330-245@1623
999.92,106047@1630
1000.13,FGA16-1500@0036
1000.17,6597405@0211
1000.28,24L3-00050@0612
1000.6,26351EJ3TL-71@0291
1000.95,6967742@0211
1000.97,6807445@0211
1001.07,M5216119@0172
1001.32,31N4-99000@0612
1001.33,74E7-10013@0612
1001.42,4222721M91@2339
1001.67,11378@1630
1001.8,85402-05 12VDC S@0104
1001.85,6809901@0211
1002.35,GM30063633@2339
1002.5,KIT1627@0107
1002.6,H50724@0150
1002.75,74794-411@0015
1002.88,E14305004@0107
1003.1,141757400@1954
1003.1,F049051@0086
1003.27,174-9405@2339
1003.3,71008653@1137
1003.3,A3897M3419@0107
1003.33,6710493@0211
1003.4,790036400@0086
1003.48,600245@0278
1003.5,198-13-21510@1563
1003.58,P-VZ023602183@2073
1003.58,D26747178@2339
1003.6,0486-197@2407
1003.75,5000-C280@0094
1003.83,6777768@0005
1003.83,G725970160010@2339
1003.83,334-9125-003@0018
1004.02,102460001CC@0211
1004.02,23018431@0005
1004.02,AL11260550@2339
1004.13,VA262291@2339
1004.25,2103610@0278
1004.35,3904482M10@2339
1004.57,6667965@0211
1004.68,VB659583152@2339
1004.72,E171-1400@0612
1004.78,49320@1389
1004.83,100002@1630
1005.02,DTE6-2RN2@1562
1005.13,9403C-1000L@0481
1005.37,F432662@0086
1005.47,E7-11-000@0211
1005.52,347-9202-794@0018
1005.9,E14401187@0107
1006.07,6960596@0211
1006.22,MCS5218904@0065
1006.32,6598495@0211
1006.35,3133H7834@0107
1006.42,3138593@0612
1006.43,6814997@0211
1006.55,81L4-0056@0612
1006.68,329904@1576
1006.75,990106@1904
1006.82,2479R1014D4@1945
1006.87,A4145108-001@0317
1007.2,PB5230@0125
1007.25,2-547-P04012-01@1385
1007.27,2436U2411F1@1945
1007.27,4642-330-210@0612
1007.27,AL160278@0701
1007.28,2802789@2003
1007.58,7400470502@2339
1007.9,AK1132@0125
1007.95,625852C1@0096
1008.17,M5290438@0172
1008.23,991142@1904
1008.33,VG7042@0125
1008.43,3267S1215X@0107
1008.62,5002-ER1@0094
1008.67,105173@1630
1008.75,4-71094@0149
1009.22,2438R13F4@1945
1009.37,3674060M91@2339
1009.47,KPA-4042A@1581
1009.53,244604@0009
1009.83,21E2-90120@0612
1009.83,21LC-10014@0612
1009.83,804.264.08.00@0612
1009.98,4143-325-031@0612
1010.15,21175344@1578
1010.2,F181882020040@2339
1010.23,173295900@1954
1010.23,6974512@0211
1010.4,RK-71-S10482@0622
1010.47,6677441@0211
1010.58,23011236@0005
1010.58,6834486@0005
1010.68,6707796@0211
1010.73,R151725@0107
1010.77,44900774@2339
1010.93,ATV3402-819@2339
1011,210325@0701
1011,7186210@2062
1011.02,113-15-32330@1563
1011.02,29507433@0701
1011.03,6680340@0211
1011.05,510022@0043
1011.38,137178@2290
1011.38,3202A9673@0107
1011.42,3589384M92@2339
1011.78,B5821738P@2339
1011.98,C22.4/25.7L37981159150@1660
1012.05,4275001M2@2339
1012.73,6969285@0211
1012.73,6967412@0211
1012.77,280009740@2073
1012.98,090337700@1954
1013.03,6598206@0211
1013.22,813-263-09-10@0612
1013.27,6677501@0211
1013.32,PFV7BSB121R00A100@0104
1013.43,MPS4283@0107
1013.48,010024108@2313
1013.5,OHCSV14-L@1543
1014.17,27540@1630
1014.17,27993@1630
1014.18,6775868@0005
1014.3,5002-AR6@0094
1014.48,4442-300@0461
1014.48,73044123@1137
1014.65,427-06-12910@1563
1014.78,0.012.6375.4@2339
1014.82,72276371@2339
1014.97,6677439@0211
1014.97,AG330707@2339
1015.32,3202G9991@0107
1015.32,3811-558@0461
1015.42,48649-019@1535
1015.45,25385A-18-85@0729
1015.88,6551409@0211
1016.12,6677436@0211
1016.25,538-0610-03-0@0331
1016.4,214281600@1954
1016.43,6677438@0211
1016.53,6677993@0211
1016.58,F034959@0086
1016.63,293G-2N19@0612
1016.63,4100501679@0612
1016.73,6838025@0005
1017.33,173296400@1954
1017.5,89954-2@0211
1017.6,6680214@0211
1017.67,0899-310-428@1623
1017.83,6758340@0005
1018.1,29519119@0005
1018.12,71S1-1002@0612
1018.38,211972@0278
1018.52,6967740@0211
1019.05,991908@1904
1019.42,350443@0653
1019.48,6677990@0211
1019.62,R902070139@1576
1019.88,4690U@0094
1019.95,F385101010090@2339
1019.98,701T2S003A31XL1V6@0772
1020.12,R140401@0107
1020.27,700725973@2339
1020.88,707-59-70170@0612
1020.88,850NYSM3411@0107
1020.92,361515@0653
1020.92,4699361@0879
1020.92,4699361@0163
1021.18,095606700@1954
1021.22,700724337@2339
1021.28,27806.001.03@0612
1021.33,192202090020@2339
1021.42,72416@1630
1021.42,VAME440135@1945
1021.5,M5264767@0172
1021.73,31LF-20180@0612
1021.73,34L1-00071@0612
1021.73,84L1-00870@0612
1022,25916@1630
1022.02,VA644711@2339
1022.2,A3111T3530@0107
1022.33,6884642@0005
1022.62,44E7-00431@0612
1022.7,3722J452@0107
1022.7,A23722H450@0107
1023.27,5002-EL3@0094
1023.38,3534442M3@2339
1023.45,XKBQ-00020@0612
1023.5,3533020M2@2339
1023.53,MPS2261@0107
1023.53,D49090066@2339
1023.55,P21G1034L@1582
1023.62,V35761900@2339
1023.85,568-22-11180@1563
1023.87,41B532517P2@0077
1023.87,913892@0161
1024.08,3186001@0317
1024.08,VE0032@0125
1024.08,VE3960@0125
1024.18,176938VA008@0487
1024.47,171740700@1954
1024.5,71255@1630
1024.53,VA067819@2339
1024.63,22953@0161
1024.63,41A259026P1@0077
1025.07,2984226@0091
1025.27,21177096@1578
1025.45,6773131@0005
1025.53,74794-404@0015
1025.62,707-36-28011@1563
1025.63,4046819SA@0072
1025.8,SNM2/25FR031/0M@0115
1026.08,24985H@1475
1026.1,VJ6948@0125
1026.38,R909608399@1576
1026.38,32B12-20103@0873
1026.42,71259@1630
1026.52,3785313M1@2339
1026.53,361-9118-362@0018
1026.55,6769944@0005
1026.57,6884429@0005
1026.73,PB3574@0125
1026.75,44089412@1607
1026.87,7400602@0066
1026.87,9-580-234-003@0110
1026.98,3891G1853@0107
1027.22,3081559@0317
1027.32,AG411231@2339
1027.4,774-0272-001@0933
1027.47,308741@1481
1027.53,4414-116@0461
1027.63,AG726279@2339
1027.78,A73211H3414@0107
1027.83,22041@0278
1027.9,6562508@0211
1027.97,5364663095@0211
1028.17,M141411@0107
1028.18,3305F1384X@0107
1028.33,BB411126@1460
1028.55,31M6-52013@0612
1028.57,35EA-70350@0612
1028.57,35EA-70360@0612
1028.78,37788653@1557
1028.92,2090225@0278
1029,842938700@0086
1029.05,E65010010@0107
1029.25,5016740M91@2339
1029.32,AG332414@2339
1029.33,AM3300003P@0066
1029.45,CL645082C1@2339
1029.47,6662089@2339
1029.93,4464-301-164@1623
1029.95,21177084@1578
1030.05,327-9110-014@0018
1030.18,71356466@2339
1030.25,81LC-00010@0612
1030.27,4644-252-018@1623
1030.3,1017539@0161
1030.3,228699@0153
1030.53,SA1688-22-40@0018
1030.6,203-06-41281@1563
1031.03,WR40081@2339
1031.2,29536399@0005
1031.25,4-99-671@2008
1031.28,207-30-33310@1563
1031.35,29506370@0005
1031.43,PCL401-1404@1620
1031.43,PCL401-1462@1620
1031.65,3782494M1@2339
1031.68,D28628X@0107
1031.75,2812861@2003
1032.02,3551420@0278
1032.08,6778919@0005
1032.1,M5253905@0172
1032.17,74290@1503
1032.27,A13102A3147@0107
1032.73,6676350@0211
1032.8,213-7248@1098
1032.83,3220073@0399
1032.97,202180@0701
1033.23,P0335845@0104
1033.37,SM1943@0125
1033.37,3765325M91@2339
1033.53,1662899M3@2339
1033.63,81LB-00020@0612
1033.7,EJS3M5634@0978
1033.88,71EH-11030@0612
1033.9,CL643742C0@2339
1034.3,3133D8350X@0107
1034.3,3133C8349X@0107
1034.72,3892X5250@0107
1034.83,100315@1630
1034.93,01214500R@0278
1035,7513-045@0382
1035.18,419-22-11500@1563
1035.35,31N4-70110@0612
1035.75,E-43002864@0163
1035.85,JKD30307@2339
1036.12,981138@1904
1036.22,3901582M10@2339
1036.32,02045100@0278
1036.87,6655661@0211
1036.93,AK1133@0125
1037.03,163K1155@1660
1037.05,6511602@0211
1037.25,X899980286200@2339
1037.33,81780@1630
1037.4,LA322211700@2339
1037.62,810883200@0086
1037.85,D-468301XWF02A@1118
1037.88,3235Z1404@0107
1038.02,3267P68@0107
1038.02,69017648@0163
1038.08,RE33042/12CG@1555
1038.2,6759086@0005
1038.4,6029-017-044@0612
1038.72,10018702@0460
1038.75,2249320526501@0612
1038.75,79974-3@0612
1038.92,258-4455@2339
1038.97,5133512@0029
1039.05,3046360@0020
1039.13,20354873@0317
1039.13,657703@1983
1039.22,CXP15677-01J@0363
1039.28,F047275@0086
1039.28,GXM0-A0C15CF@0272
1039.48,23010775@0005
1039.52,CR944051B1@0077
1039.9,7100463@0211
1039.97,4657-376-001@0612
1040,6684716@0211
1040.08,600853@0278
1040.32,8045041202@0132
1040.33,0501-320-211@1623
1040.35,GR90021453@2339
1040.4,6832391@0005
1040.52,18017@0043
1040.52,6838165@0005
1040.6,7511-043@0612
1040.62,04071873@0149
1040.68,74L1-01251@0612
1040.88,6769320@0005
1041,888503C1@0096
1041.07,72525183@2339
1041.53,21N3-32102@0612
1041.55,6803726@0211
1042.02,1-537-000-002@0110
1042.13,1029217M91@1643
1042.35,1026641@0161
1042.45,3819559M92@2339
1042.5,1407C2A1CR@0547
1042.5,28350@0161
1043,4222037R91@2339
1043.2,7831-67-6100@1563
1043.25,100297@1630
1043.25,206102@0701
1043.27,3809079M95@2339
1043.28,3866Z1352@0107
1043.52,6777224@0005
1043.62,113-15-12421@1563
1043.85,21EK-10015@0612
1043.87,0881.072.6000@2269
1043.95,707-28-13080@0612
1044,76166@1630
1044.38,3426714M91@2339
1044.43,708-21-01071@1563
1044.62,36620 & 36690@0117
1044.77,72272448@2339
1044.87,6960299@0211
1045.08,0-281-011-020@0110
1045.08,0-281-020-083@0110
1045.15,991223@1904
1046.08,2.3719.810.0/1@2339
1046.12,6678756@0211
1046.17,1106658C1@0096
1046.17,1253434H1@0096
1046.17,150539@0151
1046.4,A502586P@0461
1046.42,LA712555677@2339
1046.6,70567@0151
1046.63,600628@0278
1047,E-43001353@0163
1047.08,999477@1904
1047.08,999357@1904
1047.08,999498@1904
1047.12,198-71-13560@1563
1047.25,129953-77210@0612
1047.25,XJAU-00608@0612
1047.27,SN7500393@2339
1047.38,72526538@2339
1047.62,AG307701@2339
1047.63,991175@1904
1047.73,6587963@0211
1047.73,1746A13@1757
1047.75,AG120734@2339
1047.87,827096500@0086
1047.88,329904@0612
1048.07,3814414M91@2339
1048.13,AL5215234@2339
1048.18,4150527@2339
1048.22,R900561106@1576
1048.68,6778270@0005
1048.75,11244@1630
1049,MCD-6512-C@0124
1049.03,74L1-01330@0612
1049.23,A6VM55DA7/63W-VZB027B@1577
1049.35,S0424300@2339
1049.43,1093-07768-01@0140
1049.45,824183200@0086
1050.28,DXP5551-03K@0363
1050.87,6773499@0120
1051,640381@1983
1051.05,3133F6662K@0107
1051.08,4292564M93@2339
1051.22,20Y-26-14120@1563
1051.38,9-510-080-628@1578
1051.48,08402026@1576
1051.48,08401828@1576
1051.48,08401826@1576
1051.48,6547209@0211
1051.48,P25X342BERN17-7@0018
1051.65,1026052@0161
1051.7,333068@0653
1051.93,HRC2-S2S-1-31-B00@0124
1052,21854491@1578
1052.2,1016350@0161
1052.37,31Y1-08430@0612
1052.37,3508-047@0612
1052.37,51N6-32001@0612
1052.37,71EH-50700@0612
1052.68,700713668@2339
1052.75,VE9757@0125
1052.75,VJ0958@0125
1052.95,700145267@2339
1053,158X1640@1660
1053.17,AG727442@2339
1053.17,F433446@0086
1053.42,71LF-80160NY@0612
1053.83,1002583@1537
1053.97,SNP3/44DSC07/6B@0115
1053.98,HRTF00T9@0107
1054.2,10024109@2313
1054.23,4286005M12@2339
1054.5,6778842@0005
1054.53,TZ7487@0125
1054.58,010024104@2313
1054.58,010024110@2313
1054.58,010024105@2313
1054.58,010022824@2313
1054.72,6880443@0005
1054.92,6628652@0211
1055.02,0.015.5748.3/1@2339
1055.4,R909650716@1576
1055.43,PB3519@0125
1055.55,35050BBA-005@2073
1055.65,D28085738@2339
1055.7,ST20055@0701
1055.85,SF1-3-175@0978
1055.85,6585989@2339
1056,0-486-107-101@0110
1056,5018532@0009
1056,5018581@0009
1056,E-43209204@0163
1056.02,6960260@0211
1056.23,6501512@0211
1056.27,90545997@1493
1056.65,6960328@0211
1056.75,6671924@0211
1057.32,D26748957@2339
1057.33,29708@1630
1057.4,72279982@2339
1057.4,2-0254-9736-1@1576
1057.5,6676908@0211
1057.57,195-03-12112@1563
1057.73,010021883@0143
1057.8,6833815@0005
1057.83,101360@1630
1057.92,6962983@0211
1058.13,271861@1839
1058.13,DCV05-3YY/01200E17B@1660
1058.17,K067918@0009
1058.17,K067919@0009
1058.25,71170@1630
1058.33,24951@1630
1058.5,88840-03/00@0815
1058.62,BW98400@1563
1058.72,031-0220-00-0@0331
1058.77,363-9152-080@0018
1058.83,4919015@0020
1058.85,04055700@0278
1058.97,R902102119@1576
1059.17,11E1-36010@0612
1059.17,2120600207@0612
1059.17,71LB-80023@0612
1059.17,71LB-80013@0612
1059.42,26077@1630
1059.52,T21144200-787@0538
1059.58,422303@0124
1059.62,1016331@0161
1059.62,217124@0653
1059.8,04034100@0278
1059.92,3200333@0612
1059.97,6960652@0211
1060.08,6664006@0211
1060.78,6831122@0005
1060.93,29540134@0005
1061.08,ORB751939L@1551
1061.15,DTD2063A005A@0638
1061.25,348-9153-013@0018
1061.55,VM4286040@2339
1061.63,GTA362438@2339
1061.63,6667701@0211
1062.13,112290300@1954
1062.43,11019733@1660
